GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-campus-date,com.campus.model,Freetime,108,0,0,0,47,0,31,0,31,0
spring-boot-campus-date,com.campus.model,Dept,31,0,0,0,14,0,9,0,9,0
spring-boot-campus-date,com.campus.model,Section,45,0,0,0,20,0,13,0,13,0
spring-boot-campus-date,com.campus.model,User,101,0,0,0,44,0,29,0,29,0
spring-boot-campus-date,com.campus.controller,SATController,46,0,0,0,17,0,3,0,3,0
spring-boot-campus-date,com.campus.controller,AdminController,71,0,0,0,21,0,5,0,5,0
spring-boot-campus-date,com.campus.controller,AdminElseController,179,0,10,0,57,0,9,0,4,0
spring-boot-campus-date,com.campus.controller,AdminController11,5,0,0,0,2,0,2,0,2,0
spring-boot-campus-date,com.campus.controller,FreetimeController,609,0,58,0,162,0,38,0,9,0
spring-boot-campus-date,com.campus.controller,UserController,335,0,32,0,98,0,23,0,7,0
spring-boot-campus-date,com.campus.controller,IndexController,33,0,0,0,9,0,3,0,3,0
spring-boot-campus-date,com.campus.service.impl,FreetimeServiceImpl,52,0,2,0,14,0,10,0,9,0
spring-boot-campus-date,com.campus.service.impl,SectionServiceImpl,12,0,0,0,3,0,3,0,3,0
spring-boot-campus-date,com.campus.service.impl,DeptServiceImpl,12,0,0,0,3,0,3,0,3,0
spring-boot-campus-date,com.campus.service.impl,UserServiceImpl,57,0,2,0,15,0,11,0,10,0
spring-boot-campus-date,com.campus.common.utils,SessionUtil,44,0,6,0,16,0,8,0,5,0
spring-boot-campus-date,com.campus.common.utils,EncryptUtil,146,0,2,0,21,0,4,0,3,0
spring-boot-campus-date,com.campus.common.utils,ErrorResponseUtil,25,0,0,0,6,0,2,0,2,0
spring-boot-campus-date,com.campus.common.utils,StringUtil,1242,0,284,0,297,0,192,0,50,0
spring-boot-campus-date,com.campus,Application,12,0,0,0,5,0,3,0,3,0
spring-boot-campus-date,com.campus.common,ConstantMsg,3,0,0,0,1,0,1,0,1,0
